Criado como novo conjunto de dados;Amostra 007 por Administrator data sexta-feira, julho 11 2025
cm-1;%T
3172,00;59,39
3171,00;59,41
3170,00;59,43
3169,00;59,45
3168,00;59,47
3167,00;59,49
3166,00;59,51
3165,00;59,53
3164,00;59,55
3163,00;59,57
3162,00;59,59
3161,00;59,61
3160,00;59,63
3159,00;59,66
3158,00;59,68
3157,00;59,70
3156,00;59,72
3155,00;59,74
3154,00;59,76
3153,00;59,77
3152,00;59,79
3151,00;59,81
3150,00;59,84
3149,00;59,86
3148,00;59,89
3147,00;59,91
3146,00;59,93
3145,00;59,95
3144,00;59,97
3143,00;59,99
3142,00;60,01
3141,00;60,03
3140,00;60,04
3139,00;60,06
3138,00;60,08
3137,00;60,10
3136,00;60,12
3135,00;60,14
3134,00;60,16
3133,00;60,18
3132,00;60,20
3131,00;60,22
3130,00;60,23
3129,00;60,25
3128,00;60,27
3127,00;60,29
3126,00;60,31
3125,00;60,33
3124,00;60,35
3123,00;60,37
3122,00;60,38
3121,00;60,40
3120,00;60,41
3119,00;60,43
3118,00;60,44
3117,00;60,46
3116,00;60,49
3115,00;60,51
3114,00;60,53
3113,00;60,55
3112,00;60,57
3111,00;60,59
3110,00;60,60
3109,00;60,62
3108,00;60,64
3107,00;60,66
3106,00;60,68
3105,00;60,70
3104,00;60,72
3103,00;60,74
3102,00;60,76
3101,00;60,77
3100,00;60,79
3099,00;60,81
3098,00;60,83
3097,00;60,84
3096,00;60,86
3095,00;60,88
3094,00;60,89
3093,00;60,91
3092,00;60,92
3091,00;60,94
3090,00;60,95
3089,00;60,97
3088,00;60,99
3087,00;61,01
3086,00;61,03
3085,00;61,04
3084,00;61,05
3083,00;61,06
3082,00;61,08
3081,00;61,09
3080,00;61,11
3079,00;61,13
3078,00;61,15
3077,00;61,16
3076,00;61,18
3075,00;61,20
3074,00;61,22
3073,00;61,24
3072,00;61,25
3071,00;61,27
3070,00;61,28
3069,00;61,30
3068,00;61,32
3067,00;61,33
3066,00;61,35
3065,00;61,37
3064,00;61,38
3063,00;61,40
3062,00;61,42
3061,00;61,44
3060,00;61,46
3059,00;61,47
3058,00;61,49
3057,00;61,51
3056,00;61,52
3055,00;61,54
3054,00;61,56
3053,00;61,58
3052,00;61,60
3051,00;61,61
3050,00;61,63
3049,00;61,65
3048,00;61,66
3047,00;61,68
3046,00;61,69
3045,00;61,71
3044,00;61,72
3043,00;61,73
3042,00;61,75
3041,00;61,76
3040,00;61,78
3039,00;61,80
3038,00;61,82
3037,00;61,83
3036,00;61,84
3035,00;61,85
3034,00;61,86
3033,00;61,88
3032,00;61,89
3031,00;61,90
3030,00;61,91
3029,00;61,93
3028,00;61,94
3027,00;61,94
3026,00;61,95
3025,00;61,96
3024,00;61,97
3023,00;61,97
3022,00;61,98
3021,00;61,99
3020,00;61,99
3019,00;62,00
3018,00;62,01
3017,00;62,01
3016,00;62,01
3015,00;62,02
3014,00;62,02
3013,00;62,02
3012,00;62,02
3011,00;62,03
3010,00;62,03
3009,00;62,04
3008,00;62,04
3007,00;62,04
3006,00;62,04
3005,00;62,03
3004,00;62,03
3003,00;62,02
3002,00;62,02
3001,00;62,01
3000,00;62,01
2999,00;62,00
2998,00;62,00
2997,00;61,99
2996,00;61,98
2995,00;61,97
2994,00;61,96
2993,00;61,95
2992,00;61,93
2991,00;61,91
2990,00;61,90
2989,00;61,88
2988,00;61,86
2987,00;61,83
2986,00;61,79
2985,00;61,75
2984,00;61,69
2983,00;61,64
2982,00;61,60
2981,00;61,56
2980,00;61,54
2979,00;61,52
2978,00;61,50
2977,00;61,47
2976,00;61,44
2975,00;61,41
2974,00;61,37
2973,00;61,34
2972,00;61,31
2971,00;61,29
2970,00;61,28
2969,00;61,27
2968,00;61,27
2967,00;61,27
2966,00;61,26
2965,00;61,26
2964,00;61,26
2963,00;61,26
2962,00;61,25
2961,00;61,24
2960,00;61,23
2959,00;61,21
2958,00;61,20
2957,00;61,18
2956,00;61,16
2955,00;61,13
2954,00;61,11
2953,00;61,08
2952,00;61,05
2951,00;61,02
2950,00;60,99
2949,00;60,96
2948,00;60,93
2947,00;60,90
2946,00;60,88
2945,00;60,85
2944,00;60,83
2943,00;60,81
2942,00;60,79
2941,00;60,79
2940,00;60,78
2939,00;60,77
2938,00;60,77
2937,00;60,76
2936,00;60,75
2935,00;60,75
2934,00;60,74
2933,00;60,73
2932,00;60,72
2931,00;60,71
2930,00;60,71
2929,00;60,70
2928,00;60,69
2927,00;60,68
2926,00;60,67
2925,00;60,65
2924,00;60,64
2923,00;60,61
2922,00;60,59
2921,00;60,57
2920,00;60,55
2919,00;60,53
2918,00;60,51
2917,00;60,51
2916,00;60,51
2915,00;60,52
2914,00;60,53
2913,00;60,54
2912,00;60,55
2911,00;60,56
2910,00;60,57
2909,00;60,58
2908,00;60,58
2907,00;60,58
2906,00;60,58
2905,00;60,58
2904,00;60,58
2903,00;60,58
2902,00;60,58
2901,00;60,59
2900,00;60,60
2899,00;60,60
2898,00;60,61
2897,00;60,61
2896,00;60,62
2895,00;60,63
2894,00;60,64
2893,00;60,65
2892,00;60,67
2891,00;60,68
2890,00;60,70
2889,00;60,72
2888,00;60,73
2887,00;60,75
2886,00;60,76
2885,00;60,78
2884,00;60,79
2883,00;60,81
2882,00;60,83
2881,00;60,85
2880,00;60,88
2879,00;60,90
2878,00;60,92
2877,00;60,93
2876,00;60,95
2875,00;60,96
2874,00;60,98
2873,00;61,00
2872,00;61,02
2871,00;61,05
2870,00;61,07
2869,00;61,10
2868,00;61,12
2867,00;61,15
2866,00;61,18
2865,00;61,20
2864,00;61,23
2863,00;61,26
2862,00;61,28
2861,00;61,30
2860,00;61,32
2859,00;61,34
2858,00;61,35
2857,00;61,37
2856,00;61,38
2855,00;61,39
2854,00;61,39
2853,00;61,40
2852,00;61,41
2851,00;61,42
2850,00;61,44
2849,00;61,48
2848,00;61,53
2847,00;61,58
2846,00;61,64
2845,00;61,70
2844,00;61,76
2843,00;61,81
2842,00;61,86
2841,00;61,91
2840,00;61,96
2839,00;62,00
2838,00;62,05
2837,00;62,11
2836,00;62,16
2835,00;62,21
2834,00;62,25
2833,00;62,30
2832,00;62,34
2831,00;62,38
2830,00;62,42
2829,00;62,46
2828,00;62,50
2827,00;62,54
2826,00;62,57
2825,00;62,61
2824,00;62,64
2823,00;62,68
2822,00;62,71
2821,00;62,74
2820,00;62,77
2819,00;62,81
2818,00;62,84
2817,00;62,87
2816,00;62,89
2815,00;62,92
2814,00;62,95
2813,00;62,98
2812,00;63,01
2811,00;63,04
2810,00;63,06
2809,00;63,09
2808,00;63,12
2807,00;63,14
2806,00;63,17
2805,00;63,19
2804,00;63,21
2803,00;63,24
2802,00;63,26
2801,00;63,28
2800,00;63,30
2799,00;63,32
2798,00;63,34
2797,00;63,36
2796,00;63,38
2795,00;63,39
2794,00;63,41
2793,00;63,42
2792,00;63,44
2791,00;63,46
2790,00;63,47
2789,00;63,49
2788,00;63,50
2787,00;63,52
2786,00;63,53
2785,00;63,55
2784,00;63,56
2783,00;63,57
2782,00;63,58
2781,00;63,59
2780,00;63,60
2779,00;63,62
2778,00;63,63
2777,00;63,64
2776,00;63,64
2775,00;63,65
2774,00;63,66
2773,00;63,67
2772,00;63,68
2771,00;63,70
2770,00;63,71
2769,00;63,72
2768,00;63,72
2767,00;63,73
2766,00;63,74
2765,00;63,75
